trial_code;hospital_id
NCT03377491;5b0803dd
NCT03377491;b20e1260
NCT03377491;d5a663fb
NCT03390504;63949518
NCT03390504;f314817a
NCT03390504;be8539a9
NCT03390504;ff9661b6
NCT03390504;3431454
NCT03390504;c64b00d0
NCT03390504;30ad16f7
NCT03390504;d4a1f4e8
NCT03390504;f16e000e
NCT03390504;2c64e9ae
NCT03390504;8,79E+85
NCT03390504;214eb259
NCT03390504;c36bf3eb
NCT03390504;ac5fcb60
NCT03390504;b3c24f92
NCT03390504;4aa43d0a
NCT03390504;583b971f
NCT03390504;1,01E+09
NCT03390504;ad6b5e7c
NCT03391778;ad1f9faf
NCT03391778;d5a663fb
NCT03399799;57298d6d
NCT03399799;91dd839b
NCT03399799;1a2cac2c
NCT03399799;90b89484
NCT03399799;e4ec5fcf
NCT03399799;91a7638c
NCT03399799;b6a14168
NCT03410615;b2463ab2
NCT03410615;fa3a8498
NCT03410615;c407b1cb
NCT03424005;c06af0d1
NCT03424005;038dff84
NCT03424005;9d6ca771
NCT03424005;2fa421ab
NCT03424005;a77786f2
NCT03441113;2ae1848d
NCT03441113;e62180ff
NCT03448042;1cba5473
NCT03448042;11e8049a
NCT03448042;e1574622
NCT03448042;1ed21dce
NCT03460977;9596dcb5
NCT03460977;e9c5c305
NCT03460977;1a37096c
NCT03460977;cd8abe6f
NCT03460977;a4e848e0
NCT03460977;feeed2f3
NCT03460977;82bfc550
NCT03460977;3b431668
NCT03467373;0d6ca1b6
NCT03485209;e67b0784
NCT03485209;4c744969
NCT03485209;c086ff58
NCT03485209;d6d215ff
NCT03485209;dc60f355
NCT03486067;3bae964d
NCT03486067;dc71ace5
NCT03486067;e5ba8bf4
NCT03486067;44bed6f5
NCT03486873;c0c9ea0f
NCT03486873;61290c6c
NCT03486873;19fa8996
NCT03486873;46538524
NCT03486873;d134dcb9
NCT03486873;38168bc1
NCT03486873;434f8ded
NCT03486873;9f9b9ca9
NCT03486873;ff9661b6
NCT03486873;84ed3a7b
NCT03486873;fa7eb42b
NCT03498716;75de569d
NCT03498716;7353e0af
NCT03498716;e3ed6ec2
NCT03498716;812e3eaa
NCT03498716;9d113d42
NCT03498716;e6995819
NCT03498716;8f49028a
NCT03498716;30ad16f7
NCT03498716;88a88aa3
NCT03498716;b38a7550
NCT03498716;777e7769
NCT03498716;43d15f87
NCT03498716;fcf82d0f
NCT03498716;7d60cff1
NCT03498716;2a030efb
NCT03498716;222a994d
NCT03498716;aeb034cc
NCT03498716;82ddf5d4
NCT03498716;65882b3e
NCT03498716;6f48436f
NCT03498716;406393a3
NCT03516214;b312ddca
NCT03526835;958b05f3
NCT03526835;cfc8c788
NCT03526835;089d41ad
NCT03526835;a0d6ebe1
NCT03530397;49ca2dcc
NCT03530397;cdb7d342
NCT03530397;dfa51b65
NCT03530397;18df17bb
NCT03530397;a16e7837
NCT03530397;61290c6c
NCT03530397;1c0e92f4
NCT03530397;f0939fb2
NCT03530397;7be0aaf1
NCT03530397;f7ebfdaf
NCT03530397;4f6cbc91
NCT03530397;65a5dbaf
NCT03533283;9d113d42
NCT03533283;d6d215ff
NCT03533283;42ec3f59
NCT03533283;777e7769
NCT03533283;ba61f11d
NCT03539536;81e3cc2a
NCT03539536;3431454
NCT03539536;36b9beb1
NCT03539536;374c15b9
NCT03539536;611b0b19
NCT03539536;23527e9d
NCT03539536;5f342291
NCT03539536;47861f77
NCT03539536;3378af33
NCT03539536;0db595ab
NCT03539536;e3ed6ec2
NCT03564691;06fbe734
NCT03564691;ff9661b6
NCT03571568;502b5751
NCT03571568;2e96cd0f
NCT03571568;b797a431
NCT03571568;5b4be63a
NCT03571568;7ad39707
NCT03590574;33aef6e5
NCT03616587;75d9fbd4
NCT03616587;49ca2dcc
NCT03616587;4611670a
NCT03616587;ebecda7f
NCT03645928;4ff8a319
NCT03645928;9992db34
NCT03645928;5070000
NCT03645928;0eb42a71
NCT03645928;3431454
NCT03653507;7622794d
NCT03656536;cc9b511d
NCT03656536;dfa51b65
NCT03656536;749d089c
NCT03656536;070437ea
NCT03656536;b7e78588
NCT03656536;8e8ca599
NCT03656536;a4d62f85
NCT03662126;1c0e92f4
NCT03662126;8c361c2b
NCT03662126;5740a294
NCT03669718;611b0b19
NCT03669718;4b60e6aa
NCT03669718;30ad7f74
NCT03669718;fcac0760
NCT03669718;c01adebb
NCT03669718;8664fbe3
NCT03677154;219bd912
NCT03677154;d79b223b
NCT03677154;91a1443d
NCT03677154;21277108
NCT03711032;255d0d07
NCT03711032;2f22ffa4
NCT03711032;7db3f394
NCT03711032;e4ec5fcf
NCT03711032;82ddf5d4
NCT03714334;a159daa2
NCT03714334;2,83E+178
NCT03724071;5df03eb3
NCT03724071;4ef54e17
NCT03724071;d467b576
NCT03733990;5c31aa5b
NCT03739710;36dec096
NCT03739710;568e1359
NCT03739710;5c31aa5b
NCT03742895;ef72dfdb
NCT03753919;8aae9e43
NCT03753919;5effcc72
NCT03753919;d0cecb94
NCT03753919;3bae964d
NCT03753919;8d96c04e
NCT03753919;2e22effc
NCT03753919;269c52bb
NCT03753919;2996fcf3
NCT03753919;fa5aacc4
NCT03753919;21830a53
NCT03753919;cfc8c788
NCT03755154;e08dd841
NCT03765918;c64b00d0
NCT03765918;83c6f8b8
NCT03765918;5b0803dd
NCT03765918;cd1498ac
NCT03765918;f04929f1
NCT03765918;df82ff55
NCT03765918;5b0803dd
NCT03767075;b0128a3d
NCT03768570;a5a61bae
NCT03768570;0b8d0981
NCT03768570;2cd07d61
NCT03768570;dc8ce339
NCT03768570;e939cbe0
NCT03768570;014c74a5
NCT03768570;2cfa42f7
NCT03773302;6c4433b1
NCT03778229;d073b74c
NCT03778229;6cdceeae
NCT03779113;1fc656ee
NCT03779113;b44f8662
NCT03779113;dc57f9ef
NCT03779113;415501b0
NCT03786926;8cbaa008
NCT03786926;4b60e6aa
NCT03786926;e14d7e39
NCT03786926;a2fdc187
NCT03786926;0303f28f
NCT03816163;81f30df9
NCT03816163;ae9a1fc6
NCT03816163;9c2b76e1
NCT03816163;d073b74c
NCT03816163;1c8b2855
NCT03816163;05022ca2
NCT03816163;08798d58
NCT03816163;255d0d07
NCT03816163;ef3533d5
NCT03820830;d8bd6825
NCT03820830;e41e90ae
NCT03820830;0303f28f
NCT03820830;9058a100
NCT03820830;d5c28438
NCT03820830;b0c7b01c
NCT03820830;0ffea59e
NCT03820830;0a6ef5f1
NCT03820830;e3ed6ec2
NCT03820830;a8dff199
NCT03821935;a0b5398c
NCT03821935;3378af33
NCT03833154;130bd358
NCT03833154;8b76dd05
NCT03833154;60a68575
NCT03833154;0ca41679
NCT03833154;ec57f544
NCT03833154;db9438cf
NCT03833154;feeed2f3
NCT03833154;da44b86c
NCT03833154;18a33811
NCT03833167;b992bdda
NCT03833167;ef72dfdb
NCT03833167;08c2e197
NCT03833167;4f1fc8a9
NCT03833167;868d5c79
NCT03833479;b3c24f92
NCT03833479;8cbaa008
NCT03833479;786aa03b
NCT03833479;ac5fcb60
NCT03833479;d0c14027
NCT03833479;d5653f49
NCT03833479;4493633d
NCT03833479;7be0aaf1
NCT03833479;d8bd6825
NCT03833479;58297c7b
NCT03833479;5416769d
NCT03833479;145782b2
NCT03833479;f7ebfdaf
NCT03833479;81fee6f1
NCT03833479;438248f8
NCT03833479;cd067087
NCT03833479;81fee6f1
NCT03843359;30b7cafc
NCT03843359;5c31aa5b
NCT03843359;40dfd9b5
NCT03869190;657ebdf7
NCT03869190;eaccc94c
NCT03869190;db38d73e
NCT03869190;db9438cf
NCT03869190;5f342291
NCT03869190;872237dd
NCT03869190;fff913b7
NCT03869190;3220a66f
NCT03871829;9998be1c
NCT03871829;e6995819
NCT03888105;cc18dc2c
NCT03888105;451b4762
NCT03888105;d134dcb9
NCT03888105;0b15c33d
NCT03893955;d6d215ff
NCT03893955;4ea3e576
NCT03893955;384dc925
NCT03893955;82785275
NCT03901469;9a8a0cc5
NCT03902184;5b454c2a
NCT03917381;d467b576
NCT03917381;0a6ef5f1
NCT03917381;9ca6f08f
NCT03917381;a7099531
NCT03917381;194f8ead
NCT03917381;4edb44bd
NCT03917381;ea4e499f
NCT03924869;520f0571
NCT03924895;4a356ef0
NCT03924895;09c5dc73
NCT03924895;30083f3d
NCT03924895;75de569d
NCT03924895;17e04a70
NCT03924895;898635d8
NCT03924895;c46a9032
NCT03930953;8664fbe3
NCT03930953;f00f6079
NCT03930953;362247af
NCT03930953;d298c8c9
NCT03937154;8976bc76
NCT03937154;9fbbd5f0
NCT03937154;dfb778cf
NCT03937154;7aa25d06
NCT03944772;b3c24f92
NCT03944772;ebca53fb
NCT03944772;e50751f1
NCT03944772;1d209abd
NCT03944772;db38d73e
NCT03944772;dc8f539a
NCT03968653;2e96cd0f
NCT03969004;0390dd6d
NCT03969004;c975d68a
NCT03969004;384dc925
NCT03969004;98364377
NCT03969004;374c15b9
NCT03973333;ad51853f
NCT03973333;406393a3
NCT03973333;a5a61bae
NCT03973333;47c37117
NCT03982797;62f4d39d
NCT03982797;8b76dd05
NCT03989414;369368c8
NCT03989414;fa5aacc4
NCT03989414;af8a240e
NCT03989414;ec87043b
NCT03993873;65882b3e
NCT03993873;f995360e
NCT03993873;78dfd8ec
NCT03993873;5fc847f5
NCT04000529;97fd4c03
